Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2024-11-07 06:00:00 CEST;"53;90625";"44;25";"35;625";"6;65625";0,0kWh;0,0kWh;"550;5";0,0kWh
2024-11-07 07:00:00 CEST;"100;5625";"86;75";"62;0625";"40;875";"43;25";"9;45828247070312";"962;5";0,0kWh
2024-11-07 08:00:00 CEST;"99;25";"73;875";"69;1875";"39;21875";"32;8125";"8;52243041992187";"974;5";0,0kWh
2024-11-07 09:00:00 CEST;"88;234375";"50;875";"71;125";"38;1875";"36;8125";"8;36654663085937";"960;5";0,0kWh
2024-11-07 10:00:00 CEST;"83;15625";"92;875";"66;125";"42;25";"28;9375";"8;87454223632812";"976;5";0,0kWh
2024-11-07 11:00:00 CEST;"100;046875";"93;125";"66;3125";"13;65625";"37;4375";"8;24349975585937";"946;5";0,0kWh
2024-11-07 12:00:00 CEST;"99;828125";"92;375";"63;5625";"42;78125";"32;25";"8;19464111328125";"976;5";0,0kWh
2024-11-07 13:00:00 CEST;"84;140625";"91;875";"65;1875";"42;625";"32;8125";"8;19320678710937";"982;5";0,0kWh
2024-11-07 14:00:00 CEST;"63;90625";"49;25";"60;8125";"42;4375";"29;25";"8;20306396484375";"906;5";0,0kWh
2024-11-07 15:00:00 CEST;"94;5";"54;375";"64;1875";"40;625";"34;9375";"8;28598022460937";"992;5";0,0kWh
2024-11-07 16:00:00 CEST;"97;921875";"86;75";"62;5";"42;28125";"34;125";"8;3402099609375";"988;5";0,0kWh
2024-11-07 17:00:00 CEST;"99;859375";"89;875";"60;125";"42;1875";"27;25";"8;32040405273437";"904;5";0,0kWh
2024-11-07 18:00:00 CEST;"100;546875";"94;25";"53;875";"41;96875";"28;375";"8;40774536132812";"886;5";0,0kWh
2024-11-07 19:00:00 CEST;"98;59375";"91;125";"53;4375";"40;59375";"30;0625";"8;37078857421875";"866;5";0,0kWh
2024-11-07 20:00:00 CEST;"88;140625";"96;5";"51;625";"37;75";"32;4375";"8;70468139648437";"832;5";0,0kWh
2024-11-07 21:00:00 CEST;"3;578125";"78;875";"43;8125";"40;75";"30;25";"0;201812744140625";"656;5";0,0kWh
2024-11-07 22:00:00 CEST;"3;875";"69;75";"46;75";"40;3125";"29;8125";"0;00006103515625";"650;5";0,0kWh
2024-11-07 23:00:00 CEST;"2;859375";"48;875";"27;0625";"25;875";"17;9375";0,0kWh;"334;5";0,0kWh
2024-11-08 00:00:00 CEST;"3;859375";70,0kWh;"39;5";"41;0625";"28;9375";0,0kWh;"664;5";0,0kWh
2024-11-08 01:00:00 CEST;"5;109375";"70;125";"39;625";"41;28125";"27;125";0,0kWh;"652;5";0,0kWh
2024-11-08 02:00:00 CEST;"6;3125";"72;875";"40;5625";"41;21875";"29;125";0,0kWh;"640;5";0,0kWh
2024-11-08 03:00:00 CEST;"5;78125";"74;125";"42;4375";"41;0625";"29;375";0,0kWh;"686;5";0,0kWh
2024-11-08 04:00:00 CEST;"5;734375";"70;625";"41;375";"41;3125";"31;5625";0,0kWh;"678;5";0,0kWh
2024-11-08 05:00:00 CEST;"4;265625";"82;5";"39;4375";"32;1875";"25;4375";"0;000030517578125";"662;5";0,0kWh
2024-11-08 06:00:00 CEST;"45;125";"48;625";"36;5";"9;25";0,0kWh;0,0kWh;"586;5";0,0kWh
2024-11-08 07:00:00 CEST;"99;484375";71,0kWh;"59;3125";"41;9375";"35;6875";0,0kWh;"992;5";0,0kWh
2024-11-08 08:00:00 CEST;"100;421875";"54;625";"64;8125";"41;96875";"31;125";"0;000030517578125";"972;5";0,0kWh
2024-11-08 09:00:00 CEST;"94;5625";"75;25";"65;125";"41;90625";"29;6875";0,0kWh;"978;5";0,0kWh
2024-11-08 10:00:00 CEST;"88;109375";"46;75";"62;5625";"42;1875";"28;1875";"0;000030517578125";"914;5";0,0kWh
2024-11-08 11:00:00 CEST;"44;421875";"91;875";"66;5625";"41;96875";"25;875";0,0kWh;"938;5";0,0kWh
2024-11-08 12:00:00 CEST;"81;78125";"95;125";"64;125";"42;46875";"25;625";0,0kWh;"960;5";0,0kWh
2024-11-08 13:00:00 CEST;"90;171875";"96;25";"57;5";"41;1875";"27;5625";0,0kWh;"910;5";0,0kWh
2024-11-08 14:00:00 CEST;"66;6875";"95;875";"59;3125";42,0kWh;27,0kWh;0,0kWh;"908;5";0,0kWh
2024-11-08 15:00:00 CEST;"95;53125";"93;875";"63;125";"27;125";"26;25";0,0kWh;"960;5";0,0kWh
2024-11-08 16:00:00 CEST;"91;9375";"96;375";"60;625";"39;21875";"26;5625";0,0kWh;"906;5";0,0kWh
2024-11-08 17:00:00 CEST;"93;765625";"90;375";"52;375";"41;5";"27;125";0,0kWh;"826;5";0,0kWh
2024-11-08 18:00:00 CEST;"94;703125";"72;25";"52;125";"41;9375";"25;4375";"8;65176391601562";"848;5";0,0kWh
2024-11-08 19:00:00 CEST;"76;359375";"47;875";"51;875";"41;59375";"30;0625";"8;90426635742187";"808;5";0,0kWh
2024-11-08 20:00:00 CEST;"92;46875";"45;75";52,0kWh;"41;4375";"33;6875";"7;93325805664062";"822;5";0,0kWh
2024-11-08 21:00:00 CEST;"4;078125";"36;875";"46;4375";"39;34375";"36;3125";0,0kWh;"762;5";0,0kWh
2024-11-08 22:00:00 CEST;"3;84375";"34;125";"47;5";"37;1875";"31;6875";"0;00006103515625";"748;5";0,0kWh
2024-11-08 23:00:00 CEST;"3;203125";"10;875";"32;4375";"29;125";"23;625";"0;000030517578125";"372;5";0,0kWh
2024-11-09 00:00:00 CEST;"4;625";17,0kWh;"44;9375";"40;5625";"33;6875";0,0kWh;"670;5";0,0kWh
2024-11-09 01:00:00 CEST;"4;65625";"18;625";"43;875";"40;75";"28;5625";0,0kWh;"688;5";0,0kWh
2024-11-09 02:00:00 CEST;"4;609375";"18;375";"44;9375";41,0kWh;"36;25";"0;000030517578125";"686;5";0,0kWh
2024-11-09 03:00:00 CEST;"4;640625";19,0kWh;"47;375";"40;875";"35;8125";"0;00006103515625";"712;5";0,0kWh
2024-11-09 04:00:00 CEST;"4;640625";"17;75";"46;375";"39;21875";"30;375";"0;000030517578125";"694;5";0,0kWh
2024-11-09 05:00:00 CEST;"4;75";18,0kWh;45,0kWh;"38;15625";"23;375";"0;00006103515625";"656;5";0,0kWh
2024-11-09 06:00:00 CEST;"33;15625";"40;875";"38;0625";"6;3125";0,0kWh;"3;68612670898437";"534;5";0,0kWh
2024-11-09 07:00:00 CEST;"89;453125";"49;875";"57;8125";"39;78125";"37;25";"9;63546752929687";"846;5";0,0kWh
2024-11-09 08:00:00 CEST;"96;4375";"46;625";"60;6875";"42;125";"27;75";"8;34854125976562";"846;5";0,0kWh
2024-11-09 09:00:00 CEST;"108;078125";44,0kWh;"60;375";"42;3125";"27;25";"8;46450805664062";"862;5";0,0kWh
2024-11-09 10:00:00 CEST;"101;265625";"46;375";"59;3125";"42;46875";"30;3125";"8;29275512695312";"858;5";0,0kWh
2024-11-09 11:00:00 CEST;"67;640625";96,0kWh;"59;5";"41;4375";"36;3125";"8;1326904296875";"834;5";0,0kWh
2024-11-09 12:00:00 CEST;"98;90625";"83;5";"59;8125";"42;875";"26;625";"8;18017578125";"844;5";0,0kWh
2024-11-09 13:00:00 CEST;"61;453125";"90;75";"55;5";"42;5625";"26;125";"8;0809326171875";"830;5";0,0kWh
2024-11-09 14:00:00 CEST;"87;171875";"83;375";"52;125";"41;125";"30;0625";"8;0045166015625";"834;5";0,0kWh
2024-11-09 15:00:00 CEST;"73;859375";"81;75";"53;375";"40;78125";"29;25";"8;114013671875";"828;5";0,0kWh
2024-11-09 16:00:00 CEST;"101;953125";"75;25";"48;875";40,0kWh;"33;5";"8;115478515625";"786;5";0,0kWh
2024-11-09 17:00:00 CEST;"100;6875";"48;125";"53;375";"40;1875";"33;0625";"8;1632080078125";"810;5";0,0kWh
2024-11-09 18:00:00 CEST;"104;9375";"59;375";"54;3125";"43;03125";"32;9375";"2;2784423828125";"828;5";0,0kWh
2024-11-09 19:00:00 CEST;"103;953125";"82;75";"52;8125";"42;78125";"29;75";0,0kWh;"842;5";0,0kWh
2024-11-09 20:00:00 CEST;"91;9375";"55;5";"46;0625";"37;8125";"23;25";0,0kWh;"730;5";0,0kWh
2024-11-09 21:00:00 CEST;"4;453125";"10;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"170;5";0,0kWh
2024-11-09 22:00:00 CEST;"3;921875";10,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2024-11-09 23:00:00 CEST;"3;125";"7;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"88;5";0,0kWh
2024-11-10 00:00:00 CEST;"4;296875";"9;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-11-10 01:00:00 CEST;"3;96875";"9;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-11-10 02:00:00 CEST;"4;3125";"9;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-11-10 03:00:00 CEST;"3;765625";"9;75";"0;0625";0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2024-11-10 04:00:00 CEST;"4;78125";"9;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2024-11-10 05:00:00 CEST;"4;03125";10,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-11-10 06:00:00 CEST;"4;8125";"31;375";"18;4375";0,0kWh;0,0kWh;0,0kWh;"252;5";0,0kWh
2024-11-10 07:00:00 CEST;"6;71875";"73;5";"37;375";"35;78125";0,0kWh;0,0kWh;"532;5";0,0kWh
2024-11-10 08:00:00 CEST;"6;125";"73;25";"39;125";"41;90625";0,0kWh;0,0kWh;"530;5";0,0kWh
2024-11-10 09:00:00 CEST;"5;875";"71;125";"39;125";"41;15625";0,0kWh;0,0kWh;"510;5";0,0kWh
2024-11-10 10:00:00 CEST;"5;359375";"61;25";"39;125";"41;34375";0,0kWh;0,0kWh;"492;5";0,0kWh
2024-11-10 11:00:00 CEST;"4;546875";"65;75";"36;6875";"37;15625";0,0kWh;0,0kWh;"480;5";0,0kWh
2024-11-10 12:00:00 CEST;"4;234375";"10;5";"22;875";0,0kWh;0,0kWh;0,0kWh;"212;5";0,0kWh
2024-11-10 13:00:00 CEST;"3;640625";10,0kWh;"2;3125";0,0kWh;0,0kWh;0,0kWh;"162;5";0,0kWh
2024-11-10 14:00:00 CEST;"4;5625";"9;75";"0;0625";0,0kWh;0,0kWh;0,0kWh;"158;5";0,0kWh
2024-11-10 15:00:00 CEST;"3;71875";"9;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-10 16:00:00 CEST;"4;78125";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-10 17:00:00 CEST;"3;734375";"9;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-10 18:00:00 CEST;"4;671875";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-11-10 19:00:00 CEST;"3;75";"9;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2024-11-10 20:00:00 CEST;"4;296875";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-11-10 21:00:00 CEST;"3;890625";"9;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-11-10 22:00:00 CEST;"4;5625";"9;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-11-10 23:00:00 CEST;"2;734375";"7;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"82;5";0,0kWh
2024-11-11 00:00:00 CEST;"3;90625";"9;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2024-11-11 01:00:00 CEST;"4;671875";"9;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2024-11-11 02:00:00 CEST;"3;90625";"9;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-11-11 03:00:00 CEST;"4;546875";"9;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2024-11-11 04:00:00 CEST;"4;109375";"9;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2024-11-11 05:00:00 CEST;"4;546875";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"186;5";0,0kWh
2024-11-11 06:00:00 CEST;"6;609375";"43;875";"33;8125";"14;78125";0,0kWh;0,0kWh;"466;5";0,0kWh
2024-11-11 07:00:00 CEST;"80;125";"101;875";"57;75";42,0kWh;"32;6875";"10;3678588867187";"958;5";0,0kWh
2024-11-11 08:00:00 CEST;"69;625";"91;25";"65;6875";"39;1875";"32;25";"8;44976806640625";"946;5";0,0kWh
2024-11-11 09:00:00 CEST;"93;890625";"93;25";"67;5";"42;8125";"32;875";"8;26922607421875";"1000;5";0,0kWh
2024-11-11 10:00:00 CEST;"79;3125";"86;25";59,0kWh;"41;40625";"31;375";"8;19976806640625";"926;5";0,0kWh
2024-11-11 11:00:00 CEST;"51;75";93,0kWh;"61;75";43,0kWh;"31;3125";"8;19085693359375";"898;5";0,0kWh
2024-11-11 12:00:00 CEST;"98;828125";76,0kWh;"60;4375";"36;65625";"31;5";"8;1343994140625";"940;5";0,0kWh
2024-11-11 13:00:00 CEST;"100;3125";"50;25";60,0kWh;41,0kWh;"26;625";"8;1627197265625";"898;5";0,0kWh
2024-11-11 14:00:00 CEST;"98;265625";"57;375";64,0kWh;"42;3125";"32;5625";"8;16064453125";"918;5";0,0kWh
2024-11-11 15:00:00 CEST;"105;28125";"85;75";"67;5";"42;34375";"35;125";"8;17822265625";"994;5";0,0kWh
2024-11-11 16:00:00 CEST;"106;453125";"83;75";"63;6875";"42;3125";"33;75";"8;30999755859375";"970;5";0,0kWh
2024-11-11 17:00:00 CEST;"102;046875";81,0kWh;"54;625";"42;46875";"31;375";"8;20318603515625";"888;5";0,0kWh
2024-11-11 18:00:00 CEST;"105;359375";"78;875";"53;6875";"40;9375";"29;4375";"8;22760009765625";"864;5";0,0kWh
2024-11-11 19:00:00 CEST;"110;578125";"33;75";"53;3125";"42;8125";"36;8125";"8;16326904296875";"842;5";0,0kWh
2024-11-11 20:00:00 CEST;"103;078125";"75;25";"53;1875";"39;21875";"32;375";"7;39886474609375";"874;5";0,0kWh
2024-11-11 21:00:00 CEST;"10;515625";"89;25";"43;9375";"40;375";"30;9375";0,0kWh;"780;5";0,0kWh
2024-11-11 22:00:00 CEST;"9;171875";"87;5";"47;375";"43;125";"37;875";"0;00006103515625";"800;5";0,0kWh
2024-11-11 23:00:00 CEST;"6;53125";"70;75";"35;5";"33;09375";"22;875";0,0kWh;"414;5";0,0kWh
2024-11-12 00:00:00 CEST;"8;75";"88;875";"45;4375";"22;8125";"39;8125";0,0kWh;"742;5";0,0kWh
2024-11-12 01:00:00 CEST;"8;90625";"87;5";"42;25";"38;15625";"31;8125";0,0kWh;"692;5";0,0kWh
2024-11-12 02:00:00 CEST;"9;296875";"86;75";"42;25";"38;03125";"31;4375";0,0kWh;"678;5";0,0kWh
2024-11-12 03:00:00 CEST;"8;9375";"81;5";"41;75";"36;5";"37;75";0,0kWh;"700;5";0,0kWh
2024-11-12 04:00:00 CEST;"8;875";"86;375";"42;3125";"38;03125";"32;25";"0;00006103515625";"690;5";0,0kWh
2024-11-12 05:00:00 CEST;"10;015625";84,0kWh;"40;625";"37;15625";"33;1875";0,0kWh;"674;5";0,0kWh
2024-11-12 06:00:00 CEST;"12;046875";"26;875";"36;5";"13;65625";"0;3125";0,0kWh;"526;5";0,0kWh
2024-11-12 07:00:00 CEST;"60;4375";"89;875";"59;25";"40;21875";"32;125";"10;2778930664062";"932;5";0,0kWh
2024-11-12 08:00:00 CEST;"50;671875";"80;875";"65;125";"39;78125";"35;1875";"8;1417236328125";"946;5";0,0kWh
2024-11-12 09:00:00 CEST;"47;328125";"88;875";"64;3125";"39;78125";"26;75";"7;91290283203125";"908;5";0,0kWh
2024-11-12 10:00:00 CEST;"48;90625";"85;625";"61;4375";"38;625";"30;6875";"8;03436279296875";"876;5";0,0kWh
2024-11-12 11:00:00 CEST;"47;78125";"80;5";"65;5625";"39;78125";"30;625";"8;4930419921875";"892;5";0,0kWh
2024-11-12 12:00:00 CEST;"49;125";"86;125";61,0kWh;"40;0625";"34;0625";"8;40576171875";"876;5";0,0kWh
2024-11-12 13:00:00 CEST;"49;671875";"88;875";"63;75";"40;125";"33;6875";"8;19183349609375";"882;5";0,0kWh
2024-11-12 14:00:00 CEST;"57;46875";"76;125";"65;0625";"40;28125";"34;1875";"8;25872802734375";"896;5";0,0kWh
2024-11-12 15:00:00 CEST;"90;6875";"70;875";"66;4375";"40;25";"34;1875";"8;28521728515625";"952;5";0,0kWh
2024-11-12 16:00:00 CEST;"77;28125";"89;5";"63;4375";"38;03125";"35;0625";"8;35955810546875";"932;5";0,0kWh
2024-11-12 17:00:00 CEST;"107;4375";"86;875";"57;125";"40;9375";"33;375";"8;38323974609375";"898;5";0,0kWh
2024-11-12 18:00:00 CEST;"109;890625";79,0kWh;"55;125";"40;96875";"30;9375";"8;44061279296875";"892;5";0,0kWh
2024-11-12 19:00:00 CEST;111,0kWh;"81;125";"55;625";"41;25";"30;625";"8;67926025390625";"888;5";0,0kWh
2024-11-12 20:00:00 CEST;"101;1875";"81;25";"55;125";"41;125";30,0kWh;"5;74737548828125";"870;5";0,0kWh
2024-11-12 21:00:00 CEST;"8;734375";"89;125";"44;875";"40;90625";"28;625";0,0kWh;"736;5";0,0kWh
2024-11-12 22:00:00 CEST;"8;640625";"80;5";"47;3125";40,0kWh;"33;6875";0,0kWh;"758;5";0,0kWh
2024-11-12 23:00:00 CEST;"6;625";"72;125";"38;0625";"32;46875";"24;25";0,0kWh;"388;5";0,0kWh
2024-11-13 00:00:00 CEST;"8;734375";"69;375";44,0kWh;"37;75";"34;125";0,0kWh;"704;5";0,0kWh
2024-11-13 01:00:00 CEST;"8;546875";"87;125";"41;125";"37;15625";"34;4375";0,0kWh;"668;5";0,0kWh
2024-11-13 02:00:00 CEST;"9;046875";"87;625";"41;6875";"37;28125";"29;4375";0,0kWh;"642;5";0,0kWh
2024-11-13 03:00:00 CEST;"8;453125";87,0kWh;"42;875";"37;3125";"33;625";0,0kWh;"664;5";0,0kWh
2024-11-13 04:00:00 CEST;"8;71875";"84;375";"43;5";"37;21875";"33;4375";0,0kWh;"660;5";0,0kWh
2024-11-13 05:00:00 CEST;"8;890625";"83;125";"42;1875";"33;96875";"30;4375";0,0kWh;"634;5";0,0kWh
2024-11-13 06:00:00 CEST;"11;734375";"34;5";"34;6875";"19;25";0,0kWh;0,0kWh;"522;5";0,0kWh
2024-11-13 07:00:00 CEST;"112;546875";"87;625";"58;125";"39;6875";"37;375";"9;5531005859375";"904;5";0,0kWh
2024-11-13 08:00:00 CEST;"112;515625";"87;25";"67;75";"39;9375";33,0kWh;"8;8035888671875";"996;5";0,0kWh
2024-11-13 09:00:00 CEST;"109;1875";"74;625";"65;5";"32;53125";"26;9375";"8;88726806640625";"932;5";0,0kWh
2024-11-13 10:00:00 CEST;"51;171875";"73;5";"60;5625";"5;875";"32;375";"8;51361083984375";"860;5";0,0kWh
2024-11-13 11:00:00 CEST;"66;234375";"82;5";"64;0625";"35;21875";"31;375";"8;17584228515625";"934;5";0,0kWh
2024-11-13 12:00:00 CEST;"99;890625";"86;125";"61;5625";"36;625";"33;3125";"8;45074462890625";"950;5";0,0kWh
2024-11-13 13:00:00 CEST;"105;5625";"86;625";"65;0625";"29;65625";"30;375";"8;30413818359375";"978;5";0,0kWh
2024-11-13 14:00:00 CEST;"103;453125";"88;5";"64;5";"39;8125";"25;4375";"8;28448486328125";"966;5";0,0kWh
2024-11-13 15:00:00 CEST;"103;84375";"85;75";"65;9375";"42;21875";"35;0625";"8;38275146484375";"988;5";0,0kWh
2024-11-13 16:00:00 CEST;"107;828125";"87;25";"61;25";"42;9375";"34;25";"8;1339111328125";"946;5";0,0kWh
2024-11-13 17:00:00 CEST;"105;640625";"78;25";"51;9375";"41;8125";"33;3125";"8;27423095703125";"862;5";0,0kWh
2024-11-13 18:00:00 CEST;"105;21875";"93;75";"51;25";"43;25";"35;875";"8;33355712890625";"888;5";0,0kWh
2024-11-13 19:00:00 CEST;"110;90625";"83;25";"53;6875";"42;90625";34,0kWh;"8;39581298828125";"878;5";0,0kWh
2024-11-13 20:00:00 CEST;"104;421875";"99;375";"51;875";"42;875";"33;8125";"7;1988525390625";"890;5";0,0kWh
2024-11-13 21:00:00 CEST;"10;8125";98,0kWh;"45;5";"41;96875";"36;375";"0;00006103515625";"806;5";0,0kWh
2024-11-13 22:00:00 CEST;"9;1875";"93;125";"45;3125";"41;65625";"27;0625";0,0kWh;"786;5";0,0kWh
2024-11-13 23:00:00 CEST;"7;609375";"79;375";"39;1875";"37;8125";"25;25";0,0kWh;"412;5";0,0kWh
2024-11-14 00:00:00 CEST;"8;421875";"78;25";"45;75";"41;8125";"36;5625";0,0kWh;"768;5";0,0kWh
2024-11-14 01:00:00 CEST;"8;125";"83;875";"41;4375";"41;65625";"34;375";0,0kWh;"704;5";0,0kWh
2024-11-14 02:00:00 CEST;"9;125";89,0kWh;"41;5";"11;78125";"28;75";0,0kWh;"632;5";0,0kWh
2024-11-14 03:00:00 CEST;"9;34375";"89;625";44,0kWh;"14;8125";"39;625";0,0kWh;"682;5";0,0kWh
2024-11-14 04:00:00 CEST;"9;28125";"87;375";"43;0625";"38;34375";"33;25";0,0kWh;"674;5";0,0kWh
2024-11-14 05:00:00 CEST;"9;171875";"84;125";"43;1875";"43;15625";"28;6875";0,0kWh;"662;5";0,0kWh
2024-11-14 06:00:00 CEST;"11;3125";21,0kWh;"30;9375";"15;875";"1;4375";0,0kWh;"506;5";0,0kWh
2024-11-14 07:00:00 CEST;"111;375";41,0kWh;59,0kWh;"43;0625";"29;625";"5;11224365234375";"918;5";0,0kWh
2024-11-14 08:00:00 CEST;"107;4375";"45;625";"66;625";"42;15625";"30;375";"9;215087890625";"962;5";0,0kWh
2024-11-14 09:00:00 CEST;"102;9375";41,0kWh;"65;4375";"42;5625";"20;6875";"8;65667724609375";"940;5";0,0kWh
2024-11-14 10:00:00 CEST;"90;9375";"41;25";"7;125";"42;53125";"27;1875";"8;71258544921875";"942;5";0,0kWh
2024-11-14 11:00:00 CEST;"83;5625";"38;75";"0;0625";"36;0625";"27;4375";"8;51214599609375";"914;5";0,0kWh
2024-11-14 12:00:00 CEST;"105;78125";"37;25";"25;9375";"37;84375";25,0kWh;"8;35357666015625";"862;5";0,0kWh
2024-11-14 13:00:00 CEST;"101;28125";"36;25";"60;625";"41;5";"23;5625";"8;01776123046875";"874;5";0,0kWh
2024-11-14 14:00:00 CEST;"100;5";"42;375";"62;1875";"39;53125";27,0kWh;"7;86175537109375";"876;5";0,0kWh
2024-11-14 15:00:00 CEST;"51;75";"57;875";"56;4375";"41;21875";"27;4375";"7;87542724609375";"818;5";0,0kWh
2024-11-14 16:00:00 CEST;"31;578125";"76;375";"56;375";41,0kWh;"26;25";"7;9500732421875";"792;5";0,0kWh
2024-11-14 17:00:00 CEST;"28;796875";"93;125";"54;5";"39;6875";"26;75";"8;019775390625";"784;5";0,0kWh
2024-11-14 18:00:00 CEST;"28;546875";"86;625";"50;3125";"42;21875";"27;3125";"8;04296875";"814;5";0,0kWh
2024-11-14 19:00:00 CEST;"28;8125";"90;625";"51;25";"42;375";"29;875";"8;3271484375";"796;5";0,0kWh
2024-11-14 20:00:00 CEST;"49;921875";"64;375";"51;1875";"40;84375";"25;125";"8;6995849609375";"784;5";0,0kWh
2024-11-14 21:00:00 CEST;"34;796875";"89;25";"45;9375";"12;71875";"26;3125";0,0kWh;"758;5";0,0kWh
2024-11-14 22:00:00 CEST;"10;21875";"83;375";"47;25";"24;46875";"31;0625";0,0kWh;"770;5";0,0kWh
2024-11-14 23:00:00 CEST;"9;5625";"90;625";45,0kWh;"38;34375";30,0kWh;0,0kWh;"422;5";0,0kWh
2024-11-15 00:00:00 CEST;"10;375";"92;125";"45;4375";"41;875";"29;625";"0;0001220703125";"774;5";0,0kWh
2024-11-15 01:00:00 CEST;"10;25";"88;375";"42;125";"40;71875";"33;375";0,0kWh;"706;5";0,0kWh
2024-11-15 02:00:00 CEST;"10;34375";"92;625";"41;125";"43;9375";"20;625";"0;000244140625";"672;5";0,0kWh
2024-11-15 03:00:00 CEST;"9;90625";"101;375";"44;25";"41;03125";"32;3125";0,0kWh;"724;5";0,0kWh
2024-11-15 04:00:00 CEST;"10;578125";88,0kWh;"42;625";"37;375";30,0kWh;0,0kWh;"702;5";0,0kWh
2024-11-15 05:00:00 CEST;"8;546875";"87;625";"41;6875";"40;28125";"29;4375";0,0kWh;"698;5";0,0kWh
2024-11-15 06:00:00 CEST;"10;671875";"40;875";"34;1875";"12;75";2,0kWh;"0;0001220703125";"546;5";0,0kWh
2024-11-15 07:00:00 CEST;"108;65625";"54;875";"57;5625";"40;03125";"31;5";"4;4974365234375";"936;5";0,0kWh
2024-11-15 08:00:00 CEST;"108;90625";"95;375";64,0kWh;"44;40625";"37;0625";"9;52978515625";"996;5";0,0kWh
2024-11-15 09:00:00 CEST;"87;4375";"95;875";"63;25";"45;3125";"36;1875";"8;228271484375";"944;5";0,0kWh
2024-11-15 10:00:00 CEST;"109;296875";"96;5";"60;5625";"41;6875";"31;9375";"8;23876953125";"916;5";0,0kWh
2024-11-15 11:00:00 CEST;"111;328125";"93;75";"62;3125";"42;03125";"31;25";"8;252197265625";"920;5";0,0kWh
2024-11-15 12:00:00 CEST;"108;96875";"95;125";"61;6875";"44;03125";"29;875";"8;2467041015625";"938;5";0,0kWh
2024-11-15 13:00:00 CEST;"108;1875";"93;875";"52;6875";"39;15625";"33;8125";"8;300048828125";"902;5";0,0kWh
2024-11-15 14:00:00 CEST;"110;75";96,0kWh;"56;375";"44;15625";"28;9375";"8;3046875";"922;5";0,0kWh
2024-11-15 15:00:00 CEST;"110;40625";"80;25";"59;375";"30;90625";"32;75";"8;3331298828125";"916;5";0,0kWh
2024-11-15 16:00:00 CEST;"69;296875";"76;5";"55;75";"35;25";"35;0625";"8;5684814453125";"820;5";0,0kWh
2024-11-15 17:00:00 CEST;"84;703125";"95;375";"56;375";"43;625";"38;125";"8;9420166015625";"874;5";0,0kWh
2024-11-15 18:00:00 CEST;"99;546875";"95;125";"54;1875";"43;6875";"35;3125";"8;135498046875";"908;5";0,0kWh
2024-11-15 19:00:00 CEST;"114;75";"84;875";"54;8125";"43;84375";"30;75";"8;2574462890625";"898;5";0,0kWh
2024-11-15 20:00:00 CEST;"106;4375";"98;875";"52;6875";"43;59375";"24;8125";"6;2037353515625";"886;5";0,0kWh
2024-11-15 21:00:00 CEST;"13;46875";"93;75";"46;25";"43;5";30,0kWh;0,0kWh;"798;5";0,0kWh
2024-11-15 22:00:00 CEST;"9;828125";98,0kWh;"48;9375";"43;03125";"17;4375";0,0kWh;"786;5";0,0kWh
2024-11-15 23:00:00 CEST;"0;1875";"1;5";"0;75";"0;71875";0,0kWh;0,0kWh;"426;5";0,0kWh
