Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2024-09-02 21:00:00 CEST;"4;83984375";"11;5";"52;78125";0,0kWh;"24;75";0,0kWh;"506;5";0,0kWh
2024-09-02 22:00:00 CEST;"4;01171875";"11;125";"52;84375";0,0kWh;"34;625";0,0kWh;"512;5";0,0kWh
2024-09-02 23:00:00 CEST;"0;98828125";"1;75";"10;40625";0,0kWh;"7;75";0,0kWh;"280;5";0,0kWh
2024-09-03 00:00:00 CEST;"3;98046875";9,0kWh;"54;09375";0,0kWh;39,0kWh;0,0kWh;"504;5";0,0kWh
2024-09-03 01:00:00 CEST;"4;18359375";"9;125";"50;125";0,0kWh;"37;125";0,0kWh;"498;5";0,0kWh
2024-09-03 02:00:00 CEST;"4;6640625";9,0kWh;"50;3125";0,0kWh;"29;5625";0,0kWh;"468;5";0,0kWh
2024-09-03 03:00:00 CEST;"4;14453125";9,0kWh;"52;15625";0,0kWh;34,0kWh;0,0kWh;"508;5";0,0kWh
2024-09-03 04:00:00 CEST;"4;5546875";"8;75";"49;71875";0,0kWh;"35;4375";0,0kWh;"502;5";0,0kWh
2024-09-03 05:00:00 CEST;"4;42578125";"9;5";"47;3125";0,0kWh;"32;375";0,0kWh;"494;5";0,0kWh
2024-09-03 06:00:00 CEST;"6;90234375";31,0kWh;"40;21875";"7;890625";0,0kWh;0,0kWh;"472;5";0,0kWh
2024-09-03 07:00:00 CEST;"100;8359375";"81;25";"73;3125";"39;8125";"36;625";0,0kWh;"882;5";0,0kWh
2024-09-03 08:00:00 CEST;"97;42578125";"86;375";"90;34375";"28;703125";"34;6875";0,0kWh;"944;5";0,0kWh
2024-09-03 09:00:00 CEST;"90;7890625";"85;875";"81;3125";"38;078125";"35;625";0,0kWh;"934;5";0,0kWh
2024-09-03 10:00:00 CEST;"99;50390625";"76;375";"84;59375";"40;078125";"31;8125";0,0kWh;"994;5";0,0kWh
2024-09-03 11:00:00 CEST;"93;30078125";"73;875";"88;8125";"40;34375";"27;125";0,0kWh;"936;5";0,0kWh
2024-09-03 12:00:00 CEST;"78;76953125";"68;5";"80;5625";"39;125";"31;5625";0,0kWh;"876;5";0,0kWh
2024-09-03 13:00:00 CEST;"90;25";"75;375";84,0kWh;"40;53125";"28;8125";0,0kWh;"934;5";0,0kWh
2024-09-03 14:00:00 CEST;"97;6171875";"70;5";"85;71875";"38;21875";"31;0625";0,0kWh;"960;5";0,0kWh
2024-09-03 15:00:00 CEST;"94;21484375";"73;625";"87;78125";"38;609375";"26;25";0,0kWh;"1026;5";0,0kWh
2024-09-03 16:00:00 CEST;"78;37890625";"64;5";"70;4375";"40;609375";"30;8125";0,0kWh;"884;5";0,0kWh
2024-09-03 17:00:00 CEST;"99;2578125";68,0kWh;"63;8125";"39;0625";"35;8125";0,0kWh;"830;5";0,0kWh
2024-09-03 18:00:00 CEST;"100;9453125";"81;75";"73;1875";"40;453125";"26;75";0,0kWh;"850;5";0,0kWh
2024-09-03 19:00:00 CEST;"101;4375";"30;75";"64;125";"35;53125";"33;8125";0,0kWh;"796;5";0,0kWh
2024-09-03 20:00:00 CEST;"98;109375";"11;375";"58;5";"33;203125";"30;3125";0,0kWh;"694;5";0,0kWh
2024-09-03 21:00:00 CEST;"7;4921875";"8;75";"41;71875";0,0kWh;"30;75";0,0kWh;"490;5";0,0kWh
2024-09-03 22:00:00 CEST;"8;13671875";"8;75";"44;4375";0,0kWh;"27;375";0,0kWh;"514;5";0,0kWh
2024-09-03 23:00:00 CEST;"2;23828125";"2;25";"11;65625";0,0kWh;"10;0625";0,0kWh;"298;5";0,0kWh
2024-09-04 00:00:00 CEST;"7;78125";"8;5";"45;53125";0,0kWh;"35;9375";0,0kWh;"520;5";0,0kWh
2024-09-04 01:00:00 CEST;"8;12890625";"8;25";"43;75";0,0kWh;"25;4375";0,0kWh;"514;5";0,0kWh
2024-09-04 02:00:00 CEST;"7;41015625";"8;375";"44;28125";0,0kWh;"37;375";0,0kWh;"502;5";0,0kWh
2024-09-04 03:00:00 CEST;"7;59375";"8;125";"46;1875";0,0kWh;"31;25";0,0kWh;"532;5";0,0kWh
2024-09-04 04:00:00 CEST;"7;765625";"8;375";"44;59375";0,0kWh;"35;375";0,0kWh;"528;5";0,0kWh
2024-09-04 05:00:00 CEST;"4;703125";"9;25";"44;0625";0,0kWh;"27;3125";0,0kWh;"494;5";0,0kWh
2024-09-04 06:00:00 CEST;"7;30859375";"29;75";"37;6875";"1;4375";"0;3125";0,0kWh;"464;5";0,0kWh
2024-09-04 07:00:00 CEST;"75;69921875";"46;375";"83;65625";"39;875";"33;4375";0,0kWh;"866;5";0,0kWh
2024-09-04 08:00:00 CEST;"97;39453125";"83;25";"97;71875";"39;921875";"35;375";0,0kWh;"1046;5";0,0kWh
2024-09-04 09:00:00 CEST;"101;84375";"83;375";"98;46875";"38;09375";"32;1875";0,0kWh;"1050;5";0,0kWh
2024-09-04 10:00:00 CEST;"103;98828125";78,0kWh;"85;65625";"26;421875";"33;25";0,0kWh;"978;5";0,0kWh
2024-09-04 11:00:00 CEST;"101;0625";"83;75";"85;5";"21;46875";"30;6875";0,0kWh;"982;5";0,0kWh
2024-09-04 12:00:00 CEST;"99;328125";"70;875";"68;5625";"42;625";"32;375";0,0kWh;"1008;5";0,0kWh
2024-09-04 13:00:00 CEST;"97;25390625";"82;875";"73;125";"36;359375";"26;5625";0,0kWh;"1004;5";0,0kWh
2024-09-04 14:00:00 CEST;"59;08984375";"64;625";"76;5";"40;203125";"27;75";0,0kWh;"934;5";0,0kWh
